document,label,expected_output,primary_script_or_source,packaged_input_root,redraw_status,notes
main,fig:pose_reuse_workflow,figures/production/yolo_sppf_main/schematic_pose_reuse_framework.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_framework_stream_schematics.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:mars_pose_training,figures/production/source_assets/pose_model_training_curves.png,source asset from pose-training record,figures/production/source_assets,archived_output_only,"Copied as final manuscript source asset; redraw requires original pose-training logs."
main,fig:stream_decomposition,figures/production/source_assets/input_stream_decomposition_mouse061.png,source asset from input-stream decomposition,figures/production/source_assets,archived_output_only,"Copied as final manuscript source asset."
main,fig:stream_ablation_design,figures/production/yolo_sppf_main/schematic_stream_ablation_design.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_framework_stream_schematics.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:fly_pose_training,figures/production/source_assets/fly_pose_model_training_curves.png,source asset from fly pose-training record,figures/production/source_assets,archived_output_only,"Copied as final manuscript source asset; redraw requires original pose-training logs."
main,fig:yolo_pose_quality,figures/production/yolo_sppf_main/fig2_yolo_pose_quality.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/analyze_yolo_sppf_lstm_attention.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Final output is bundled; redraw requires the controlled-run output tree."
main,fig:yolo_training_stability,figures/production/yolo_sppf_main/fig3_yolo_neural_training_stability.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/analyze_yolo_sppf_lstm_attention.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Final output is bundled; redraw requires training logs in the controlled-run output tree."
main,fig:yolo_head_capacity,figures/production/yolo_sppf_main/fig6_yolo_temporal_head_capacity_full_stream.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/analyze_yolo_sppf_lstm_attention.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Final output is bundled; redraw requires the controlled-run output tree."
main,fig:yolo_stream_ablation,figures/production/yolo_sppf_main/fig4_yolo_stream_ablation_headline.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/analyze_yolo_sppf_lstm_attention.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Final output is bundled; redraw requires the controlled-run output tree."
main,fig:yolo_paired_effects,figures/production/yolo_sppf_main/fig7_yolo_per_video_paired_effects.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_per_video_paired_effects.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:yolo_classical_baselines,figures/production/classical_baselines/fig7_yolo_classical_baselines.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_classical_baselines.py,outputs/controlled_comparison_runs/run_20260528_205727/manuscript_figures/interim_qc/classical_rf_xgb,upstream_required,"Final output and summary tables are bundled; plotting script expects source classical baseline CSVs from the controlled run."
main,fig:mobilenet_cross_backbone,figures/production/mobilenet_portability/fig_mobilenet_portability.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_mobilenet_portability.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Final output and production tables are bundled; redraw script rebuilds tables from the controlled-run output tree."
main,fig:mobilenet_ethogram_bout,figures/production/mobilenet_portability/fig_mobilenet_ethogram_bout_detail.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_mobilenet_ethogram_bout_detail.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Requires per-model eval outputs from the controlled-run tree."
main,fig:dlc_heldout_summary,figures/production/dlc_superanimal_topdown/dlc_heldout_summary_multiplot.pdf,scripts_by_experiment/04_dlc_hrnet_topdown/make_dlc_heldout_summary_figure.py,tables/production/dlc_superanimal_topdown,table_backed,"V4 copy was patched to accept package-relative table and figure directories."
main,fig:descriptor_provenance,figures/production/descriptor_provenance/fig_descriptor_provenance_multiplot.pdf,scripts_by_experiment/05_descriptor_provenance/make_descriptor_provenance_figure.py,tables/production/descriptor_provenance,table_backed,"V4 copy was patched to accept package-relative table and figure directories."
main,fig:yolo_bout_examples,figures/production/yolo_sppf_main/fig5_yolo_ethogram_bout_examples.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_ethogram_bout_examples.py,tables/production/yolo_sppf_main plus source_mp4_cache,upstream_required,"Requires source MP4 frames in addition to production bout tables."
main,fig:yolo_ethogram_transition,figures/production/yolo_sppf_main/fig8_yolo_full_video_ethogram_lstm_attention.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_full_video_ethogram_comparison.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:yolo_undersegmentation,figures/production/yolo_sppf_main/fig9_yolo_bout_undersegmentation_merge_audit.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/audit_yolo_undersegmentation_merges.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:yolo_sequence_structure,figures/production/yolo_sppf_main/fig10_yolo_ethogram_sequence_structure.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_ethogram_sequence_structure.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:yolo_operating_envelope,figures/production/yolo_sppf_main/fig11_yolo_operating_envelope.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_operating_envelope.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
main,fig:fly_pose_profile,figures/production/fly_v_fly/fig_fly_v_fly_pose_profile.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_fly_v_fly_focused_results.py,Fly_YOLO_Pose_Model plus fly focused eval outputs,upstream_required,"Final output and production tables are bundled; redraw requires fly pose-validation text and focused eval folder."
main,fig:fly_short_bout,figures/production/fly_v_fly/fig_fly_v_fly_short_bout_adaptation.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_fly_v_fly_focused_results.py,outputs/controlled_comparison_runs/fly_adaptation_attention256_cw12_seed42,upstream_required,"Final output and production tables are bundled; redraw requires focused fly eval outputs."
supplement,supp_yolo_full_ablation_matrix,figures/production/supplement/supp_yolo_full_ablation_matrix.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_full_ablation_matrix.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
supplement,supp_yolo_bout_fragmentation_audit,figures/production/supplement/supp_yolo_bout_fragmentation_audit.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/audit_yolo_bout_fragmentation.py,tables/production/yolo_sppf_main,archived_output_only,"Final output is bundled; the table-backed renderer reproduces the all-capacities version used for the expanded audit."
supplement,supp_yolo_bout_fragmentation_audit_all_capacities,figures/production/supplement/supp_yolo_bout_fragmentation_audit_all_capacities.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/audit_yolo_bout_fragmentation.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
supplement,supp_yolo_bout_sequence_ngram_audit,figures/production/supplement/supp_yolo_bout_sequence_ngram_audit.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/analyze_yolo_bout_sequence_ngrams.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
supplement,supp_yolo_bout_boundary_head_comparison,figures/production/yolo_sppf_main/supp_yolo_bout_boundary_head_comparison.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_bout_boundary_agreement.py,tables/production/yolo_sppf_main,table_backed,"Covered by render_table_backed_figures.py."
supplement,supp_mars_model_type_ethograms,figures/production/supplement/supp_mars_model_type_ethograms.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_mars_model_type_ethograms.py,outputs/controlled_comparison_runs/run_20260528_205727,upstream_required,"Requires model prediction CSVs from the controlled-run output tree."
supplement,supp_yolo_training_throughput,figures/production/supplement/supp_yolo_training_throughput.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/plot_yolo_training_throughput.py,outputs/controlled_comparison_runs/run_20260528_205727/manuscript_figures/interim_qc/throughput,upstream_required,"Requires throughput summary CSVs from the controlled-run output tree."
supplement,supp_dlc_heldout_metrics,figures/production/dlc_superanimal_topdown/dlc_heldout_metric_summary.pdf,analyze_dlc_heldout_eval.py,DLC held-out eval analysis outputs,upstream_required,"Final output and production tables are bundled; source analysis script lives with the DLC held-out analysis workflow."
supplement,supp_dlc_confusion,figures/production/dlc_superanimal_topdown/dlc_heldout_confusion_recall_raw.pdf,analyze_dlc_heldout_eval.py,DLC held-out eval analysis outputs,upstream_required,"Final output and production tables are bundled; source analysis script lives with the DLC held-out analysis workflow."
supplement,fig:supp_end_to_end_benchmark_throughput,figures/production/supplement/supp_end_to_end_benchmark_throughput.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/summarize_end_to_end_benchmarks.py,verification_files/by_experiment/07_deployment_and_gui/end_to_end_pipeline_benchmark/outputs,table_backed,"Covered by render_table_backed_figures.py."
supplement,fig:supp_end_to_end_benchmark_stage_timing,figures/production/supplement/supp_end_to_end_benchmark_stage_timing.pdf,scripts_by_experiment/00_figure_table_rendering/production_analysis/summarize_end_to_end_benchmarks.py,verification_files/by_experiment/07_deployment_and_gui/end_to_end_pipeline_benchmark/outputs,table_backed,"Covered by render_table_backed_figures.py."
supplement,gui_screenshots,figures/production/GUI_Sreenshots,manual GUI screenshots,figures/production/GUI_Sreenshots,archived_output_only,"Copied as final manuscript GUI screenshots."
