table_name,status,source_path,manuscript_use,notes
fly_video_annotation_surface_all.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_video_annotation_surface_all.csv,Documents all Fly-v-Fly aggression movies and annotation availability,Includes unavailable secondary-annotation rows rather than omitting movies.
fly_video_annotation_surface_heldout.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_video_annotation_surface_heldout.csv,Supports held-out dataset description in Fly-v-Fly Results,Movies 6-10; primary priority-expanded bout counts and medians.
fly_gt_bout_distribution_by_video_class.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_gt_bout_distribution_by_video_class.csv,Supports short-bout behavior-duration claims,Primary priority-expanded held-out behavior bouts by movie and class.
fly_secondary_annotation_availability.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_secondary_annotation_availability.csv,Documents secondary-annotation coverage,Current local Aggression subset has movie6_second_actions.mat only.
fly_interannotator_frame_agreement_by_video.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_interannotator_frame_agreement_by_video.csv,Supports human-human annotation surface,Includes unavailable rows for movies without secondary annotation.
fly_interannotator_class_agreement_by_video.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_interannotator_class_agreement_by_video.csv,Supports class-specific annotator disagreement claims,Includes unavailable rows for movies without secondary annotation.
fly_human_human_eval_metrics_by_video.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_human_human_eval_metrics_by_video.csv,Provides human-human frame and bout metrics using evaluator machinery,Used as annotation-uncertainty reference where secondary labels exist.
fly_original_thesis_human_benchmark.csv,ready,Manuscript_penultimate/tables/production/fly_v_fly/fly_original_thesis_human_benchmark.csv,Documents published Fly-v-Fly Aggression human-reference range,Recall generally above 80 percent and precision 60-80 percent in thesis benchmark.
fly_focused_eval_cross_run_summary.csv,ready,outputs/controlled_comparison_runs/fly_run_20260602/fly/eval/cross_run_summary.csv,Will support focused Fly model summary once cached eval completes,Copy into this folder only after eval_summary.json is present.
fly_focused_eval_per_video_metrics.csv,ready,outputs/controlled_comparison_runs/fly_run_20260602/fly/eval/per_video_metrics.csv,Will support primary and annotation-aware per-video model metrics,Copy into this folder only after cached eval completes.
fly_focused_eval_failures.csv,ready,outputs/controlled_comparison_runs/fly_run_20260602/fly/eval/failures.csv,Will document failed Fly evaluation runs if any,Should be empty except for header if evaluation succeeds.
